Job Family,Total Benefits,Total Compensation,Percent_Total_Benefit
Street Transit,2384.7400000000002,6649.27,35.864688905699424
Street Transit,23196.14,64678.52333333334,35.86374395168885
Street Transit,23031.74,64226.6,35.86012648964759
Street Transit,13999.3,39039.04,35.85974450191398
Street Transit,14286.32,39840.655,35.85864740426582
Street Transit,14246.81,39736.185,35.85349222629198
Street Transit,21331.864999999998,59502.415,35.850418844344375
Street Transit,6509.575,18158.36,35.848914769836036
Street Transit,22869.075,63793.435,35.84863395426191
Street Transit,14458.976666666667,40336.00666666667,35.846326549265086
Street Transit,17090.13,47676.27,35.846197699610315
Street Transit,22075.345,61587.505000000005,35.84386962907492
Street Transit,23394.235,65274.68000000001,35.83967780462501
Street Transit,22765.445,63520.735,35.839391656913286
Street Transit,25417.845,70921.73,35.839290722321635
Street Transit,22373.010000000002,62429.065,35.837490117784085
Street Transit,26842.835,74919.42,35.82894128117917
Street Transit,24259.16,67709.29000000001,35.82840700293859
Street Transit,20712.925,57817.93000000001,35.82439737984393
Street Transit,18552.1,51794.0,35.81901378538054
Street Transit,24696.045,68952.98,35.81577619995539
Street Transit,21844.076666666668,60994.14666666667,35.81339826925469
Street Transit,18514.29,51703.0,35.80892791520802
Street Transit,14048.56,39232.64,35.80834733528001
Street Transit,14293.21,39918.27,35.806185989523094
Street Transit,27089.184999999998,75659.575,35.80404066504471
Street Transit,17034.56,47584.45,35.79858546226762
Street Transit,4285.764999999999,11973.31,35.79432086866539
Med Therapy & Auxiliary,21907.506666666668,61210.96666666667,35.79016614125246
Street Transit,29303.800000000003,81877.36499999999,35.789866955293455
Street Transit,13896.91,38830.21,35.788912807836994
Street Transit,18716.73,52299.66,35.787479306748835
Street Transit,22977.265,64205.02,35.78733407450071
Street Transit,16765.06,46848.715,35.78552794884556
Street Transit,18056.43,50462.65666666667,35.781766543272894
Street Transit,18629.705,52066.745,35.780429523681576
Street Transit,22210.75,62077.17,35.77925668969768
Street Transit,8529.710000000001,23847.78,35.7673125129467
Street Transit,10279.92,28743.065,35.764870587044214
Street Transit,22168.925,61987.465,35.76356122967765
Med Therapy & Auxiliary,27701.145,77458.3425,35.76263589683706
Street Transit,24322.57,68012.285,35.76202446366858
Street Transit,18013.84,50372.445,35.761297669787524
Street Transit,23148.84,64734.03999999999,35.75991858379302
Street Transit,2496.8450000000003,6982.415,35.75904611799786
Street Transit,22864.875,63945.55500000001,35.7567855967471
Street Transit,23450.52,65584.25,35.75632869172096
Street Transit,23434.375,65540.005,35.75583340282015
Street Transit,21910.87,61279.38333333334,35.75569597496493
Street Transit,20915.985,58499.42,35.75417499865811
Street Transit,17616.64,49274.31333333333,35.752177571356654
Street Transit,22833.273333333334,63872.29,35.748324247233555
Street Transit,27119.095,75862.14499999999,35.747862125438196
Street Transit,2210.85,6184.7,35.74708554982456
Street Transit,10728.703333333333,30013.183333333334,35.74663578394161
Street Transit,315.82,883.51,35.74605833550271
Street Transit,16764.81,46900.67,35.745352891547185
Street Transit,24570.699999999997,68743.595,35.74252990405869
Street Transit,16327.315,45682.994999999995,35.74046535258908
Street Transit,24466.1,68459.51,35.73805889057634
Street Transit,22944.35,64204.55500000001,35.73632743035131
Street Transit,28473.99,79686.13,35.732680204196136
Street Transit,26474.4,74098.375,35.728718747205995
"Clerical, Secretarial & Steno",20524.396666666667,57451.03333333333,35.72502612369606
Correction & Detention,18566.825,51971.850000000006,35.724772160313705
Street Transit,23542.436666666665,65908.92,35.719651705211774
Street Transit,23955.443333333333,67071.25666666667,35.716407480462195
Street Transit,25871.815,72440.38,35.71463181170502
Street Transit,9459.435000000001,26487.445,35.71290096119124
Street Transit,20345.896666666664,56979.149999999994,35.70761702599401
Street Transit,14741.29,41284.79,35.70634609017026
Street Transit,25520.365,71483.975,35.700819659231314
Street Transit,20037.24,56127.985,35.699197111743814
Street Transit,5469.83,15322.39,35.6982820565199
Correction & Detention,18083.04,50672.43,35.68615122661377
Street Transit,20541.579999999998,57561.85333333333,35.68609905773245
Public Service Aide,25917.760000000002,72632.4275,35.68345557499094
Street Transit,14171.23,39718.54,35.679131206736194
Nursing,5537.29,15519.835,35.67879426553182
Street Transit,28204.63,79056.64499999999,35.67648235009215
Public Service Aide,21641.324999999997,60662.009999999995,35.67525210588967
Street Transit,18394.75,51562.31333333333,35.67479581663455
Street Transit,17942.08,50294.145,35.67429170930335
Street Transit,19938.29,55890.80333333332,35.67365078130625
Street Transit,23678.120000000003,66383.09,35.66890302937089
Semi-Skilled & General Labor,25050.64,70233.01,35.66790032208502
Street Transit,22997.31,64482.625,35.664351443509005
Street Transit,23984.963333333333,67256.11666666665,35.66212936766347
Street Transit,23453.88,65769.075,35.660954635594315
Street Transit,23768.275,66651.935,35.66029253314251
Street Transit,14096.69,39531.23,35.65962910842895
Street Transit,14398.33,40377.88999999999,35.658946022191856
Street Transit,2516.37,7057.56,35.65495723734548
Street Transit,21520.626666666667,60358.90666666667,35.654434208881185
Street Transit,24945.45,69967.92,35.65269626423081
Street Transit,19313.935,54183.685,35.645296180944506
Street Transit,15855.51,44482.0,35.64477766287487
Street Transit,26446.85,74199.105,35.64308491322099
Street Transit,7720.3125,21660.08,35.64304702475706
Street Transit,24470.573333333334,68655.15666666666,35.64273176469823
Med Therapy & Auxiliary,12839.19,36022.52,35.642120540151
Med Therapy & Auxiliary,11442.359999999999,32103.916666666668,35.64163251109028
Street Transit,18541.7,52027.86,35.63802162918098
Street Transit,19012.383333333335,53348.74333333334,35.637921618022496
Street Transit,16589.356666666667,46550.006666666675,35.63771061400492
Street Transit,22060.21,61909.02,35.633272825187674
Street Transit,14596.645,40963.53,35.63326939841367
Street Transit,21746.26,61030.829999999994,35.6315979972745
Street Transit,19900.02,55850.89,35.630622896072026
Street Transit,22190.4,62284.055,35.62773811050036
Street Transit,20889.225,58637.604999999996,35.62428069836754
Street Transit,24055.16,67525.15,35.62400083524435
Street Transit,20341.656666666666,57101.460000000014,35.62370676102968
Med Therapy & Auxiliary,25566.335,71771.68,35.62175916740419
Street Transit,21127.63666666667,59323.57333333333,35.61423474603014
Street Transit,24420.67,68573.01999999999,35.61265057306795
Street Transit,18943.97333333333,53194.95666666667,35.61234846386126
Street Transit,28267.61,79376.545,35.61204383486331
Street Transit,20543.375,57686.685,35.61198741095974
